tweet_id,summary,crypto_relevance,technical_knowledge,crypto_sentiments,timestamp
1876947476013301910,The tweet questions the value of a cryptocurrency compared to fiat currency.,8,5,{'KLAUS': 4},2025-02-09T00:22:54.882205
1877038926206058724,The tweet discusses a Bitcoiner's legal issues based on a misunderstanding of cryptocurrency transaction privacy.,9,7,"{'BTC': 4, 'XMR': 7}",2025-02-09T00:22:56.062819
1877057711050756518,Announcement of the French government's initiative to launch free crypto payments aimed at eliminating bank fees.,8,5,"{'XRP': 8, 'XLM': 7, 'XDC': 6, 'ALGO': 6, 'Quant': 6, 'IOTA': 5, 'HBAR': 5, 'Ripple': 8}",2025-02-09T00:22:58.842139
1876940336074805346,"The user questions India's slow adoption of cryptocurrency compared to smaller nations, emphasizing urgency.",9,7,"{'BTC': 8, 'ETH': 7, 'XRP': 6, 'SOL': 5, 'LTC': 4}",2025-02-09T00:23:00.565503
1877010196494532670,"The tweet discusses a confirmed meeting between President Trump and Ripple, speculating on the topics likely discussed, including cryptocurrency regulation and XRP's market strategies.",9,7,"{'XRP': 8, 'Ripple': 7}",2025-02-09T00:23:02.045449
1877125675976425919,"The tweet announces Russia's move away from the US dollar and the upcoming BRICS cryptocurrency, highlighting the significance of various crypto tokens.",9,6,"{'XRP': 8, 'XLM': 7, 'XDC': 6, 'ALGO': 5, 'Quant': 5, 'IOTA': 6, 'HBAR': 6}",2025-02-09T00:23:04.052398
1877135613343784993,"The tweet announces a major development where the New York Stock Exchange is involved in crypto mortgages, highlighting various cryptocurrencies.",8,5,"{'XRP': 7, 'XLM': 6, 'XDC': 6, 'ALGO': 6, 'Quant': 5, 'IOTA': 5, 'HBAR': 5}",2025-02-09T00:23:06.508254
1876935075171865076,The tweet playfully engages followers to provide humorous and incorrect suggestions for achieving financial freedom.,5,2,"{'BTC': 4, 'ETH': 3, 'DOGE': 6}",2025-02-09T00:23:08.392941
1876927493833101459,The user anticipates a price increase for HOPPY and encourages engagement with the cryptocurrency community.,8,5,"{'HOPPY': 8, 'PEPE': 6}",2025-02-09T00:23:10.809144
1877027943328919587,"Announcement of eZcash availability on iPhone/iPad, indicating increased accessibility for Zcash users.",8,5,{'ZEC': 7},2025-02-09T00:23:12.157727
1876791604067107059,"The user expresses frustration and disappointment with their recent losses in the crypto market, specifically with SOL, and feels disillusioned by the overall crypto experience.",8,5,{'SOL': 3},2025-02-09T00:23:13.473151
1877056024718274588,"The tweet expresses strong support for Coinbase's legal actions against the SEC, highlighting hope for a favorable outcome for various cryptocurrencies.",9,5,"{'XRP': 8, 'XLM': 7, 'XDC': 6, 'ALGO': 6, 'Quant': 5, 'IOTA': 5, 'HBAR': 5, 'Ripple': 8}",2025-02-09T00:23:15.608517
1876980764039881172,"The tweet promotes the GOPai project, a new cryptocurrency initiative aimed at decentralizing data uploads through an integration of art and science.",8,7,{'GOPai': 8},2025-02-09T00:23:17.177257
1876820170594775398,The tweet encourages younger generations to seize cryptocurrency investing opportunities while sharing insights on the learning curve of bull runs.,9,6,"{'$SNEK': 8, '$CHAD': 7, 'Bitcoin': 9, 'Ethereum': 8, 'Cardano': 7, 'Solana': 7}",2025-02-09T00:23:18.999460
1877055247484416060,"The tweet promotes the development of DeFi AI agents on the Arbitrum platform, showcasing its innovative capabilities and partnerships.",8,7,"{'ARB': 9, 'AI': 8, 'DeFi': 7}",2025-02-09T00:23:20.434788
1877044725674398194,The tweet celebrates Aave's 5th anniversary and highlights its achievements in the DeFi space.,9,6,{'AAVE': 9},2025-02-09T00:23:22.226176
1877046255886676138,"A user shares a link to an interview related to cryptocurrency, indicating engagement with the crypto community.",8,5,{'BTC': 7},2025-02-09T00:23:23.302305
1877073351606165779,The user announces a sale of $LLM and invites followers for an Ask Me Anything (AMA).,8,6,{'$LLM': 7},2025-02-09T00:23:24.839508
1877056033916653820,"The tweet critiques the current state of DeFi, highlighting stagnation and proposing Spicenet as a solution for innovation and efficient development.",9,7,"{'DeFi': 4, 'Ethena': 3, 'Pendle': 3, 'Spicenet': 9}",2025-02-09T00:23:26.588109
1877036529500946632,"The tweet appears to question the necessity of a $30 item, likely suggesting skepticism about its value or relevance in the crypto space.",4,5,"{'USD': 7, 'BTC': 5, 'METIS': 6}",2025-02-09T00:23:28.187037
1877036418746429473,"The tweet promotes SparkDEX as a leading DeFi platform on Flare, highlighting its growth, user-friendly features, and significance in the ecosystem.",9,8,"{'FLR': 9, 'SPRK': 8, 'HEU': 7}",2025-02-09T00:23:29.999614
1877124692361781324,The tweet promotes upcoming advancements in DeFi technologies and encourages followers to prepare for significant developments this year.,9,7,{'DeFi': 8},2025-02-09T00:23:31.177999
1877065890572783942,The user is excited about a potential investment in MAX with a reference to its market cap and a temporal urgency.,8,5,{'MAX': 7},2025-02-09T00:23:32.645378
1877054103110471711,"The tweet announces that Midle has received a grant from Nibiru Chain, highlighting a collaborative advancement in DeFi.",8,7,"{'MIDLE': 8, 'NIBIRU': 8}",2025-02-09T00:23:34.053771
1877123303892013550,The user expresses enthusiasm about Fluid DEX's potential in the DeFi space and highlights its unique capital efficiency compared to traditional DEXes.,9,8,"{'FLUID': 9, 'ETH': 7, 'USDC': 6, 'LEND': 8, 'UNI': 5}",2025-02-09T00:23:35.752007
1877097963975307381,The user predicts that GRIFFAIN will rank among the top 100 cryptocurrencies.,8,5,{'GRIFFAIN': 7},2025-02-09T00:23:37.125010
1877067966140788809,The tweet discusses the potential growth of altcoins driven by AI agents and promotes a list of low-cap projects with high return potential.,8,6,"{'ALTCOIN': 7, 'NFT': 6, 'DEFI': 7}",2025-02-09T00:23:39.273301
1877049141848608875,"The tweet promotes the benefits of investing in $SOIL, emphasizing its stability and role in the real economy through decentralized finance.",9,6,{'$SOIL': 8},2025-02-09T00:23:40.697855
1877129012486475804,Announcement about integrating new projects into the Frax ecosystem and promoting its features.,9,6,{'FXS': 8},2025-02-09T00:23:42.076331
1877140835881631930,The tweet promotes a podcast episode featuring insights on portfolio strategy and DeFi from notable crypto figures.,8,6,"{'ETH': 7, 'DeFi': 8}",2025-02-09T00:23:43.409278
1877086637559263658,"The tweet promotes the upcoming Polaris beta launch, highlighting its cross-chain trading capabilities and DeFi features.",9,8,"{'OSMO': 8, 'BTC': 7, 'ETH': 8, 'SOL': 7}",2025-02-09T00:23:44.903559
1877072121408467294,"The tweet discusses the intersection of AI and blockchain for decentralized decision-making, highlighting a conversation with a notable figure in the field.",8,7,"{'RADIX': 8, 'GENLAYER': 8}",2025-02-09T00:23:46.754102
1877077243286937977,"The tweet announces the completion of an audit for a yield token, indicating a forthcoming launch and promoting excitement for a new era in DeFi.",8,6,"{'YIELD': 8, 'DEFI': 9}",2025-02-09T00:23:48.629145
1877105315813994512,The tweet expresses excitement about the future of blockchain technology and upcoming events related to the Blockchain Futurist Conference.,8,5,"{'WORLD3': 9, 'ETH': 7}",2025-02-09T00:23:49.966983
1877096873221148910,"The tweet promotes a new anthem for the $REDO community, emphasizing free speech and referencing $TON.",7,5,"{'$REDO': 8, '$TON': 7}",2025-02-09T00:23:51.123009
1877037555268411448,The user supports true decentralization and promotes $AXL as a superior cryptocurrency compared to others that adopt fake decentralization.,9,7,{'$AXL': 10},2025-02-09T00:23:52.487884
1877120499928477893,"The tweet promotes $BOTIFY as a revolutionary AI and blockchain integration in the crypto space, positioning it as a competitor to Shopify and Spotify.",8,7,{'$BOTIFY': 9},2025-02-09T00:23:53.798368
1877113617121710394,"The tweet promotes NEAR as a leading blockchain for AI, suggesting a significant market opportunity.",8,6,{'NEAR': 9},2025-02-09T00:23:55.011125
1877028205174944003,The tweet announces a discussion featuring DIMO Network's co-founder focused on making smart and programmable vehicles with blockchain technology.,7,6,"{'DIMO': 8, 'BLOCKCHAIN': 7}",2025-02-09T00:23:56.491004
1877050031166923040,The tweet promotes Renta Network's use of OP Stack technology for enhancing property rentals through blockchain innovation.,8,7,"{'ETH': 8, 'BTC': 5, 'OP': 9}",2025-02-09T00:23:59.868777
1877104195796357475,"The tweet promotes the upcoming launch of DIGARD 2.0, a decentralized AI project aimed at simplifying blockchain technology.",8,6,{'DIGARD': 7},2025-02-09T00:24:01.290871
1877068183657406752,"The user expresses optimism regarding a recent market movement, suggesting it may signify a positive trend.",7,6,{'XRP': 8},2025-02-09T00:24:02.400894
1877087697145086372,The tweet advocates for the integration of blockchain technology in government to enhance accountability for taxpayer dollars.,7,6,"{'BTC': 0, 'ETH': 0, 'XRP': 0, 'LTC': 0, 'NEO': 0, 'DOT': 0, 'ADA': 0, 'SOL': 0, 'LINK': 0, 'MATIC': 0}",2025-02-09T00:24:04.550205
1877099689574597048,"The tweet promotes adding the Infinaeon MainNet to MetaMask, featuring a video tutorial by @DefiShaun.",9,5,{'INF': 8},2025-02-09T00:24:05.593809
1877070636670959839,The tweet discusses Solana's innovative approach to blockchain scaling by comparing its cost-effectiveness to flying cars versus subway rides.,8,7,{'SOL': 8},2025-02-09T00:24:07.323653
1877072727447646458,"The tweet announces the launch of the uberGuardian feature on the Mainnet, enhancing blockchain security with two-factor authentication.",8,7,"{'X': 9, 'EGLD': 8, 'MATIC': 1, 'BTC': 1, 'ETH': 1}",2025-02-09T00:24:09.793230
1877054582637080629,The tweet highlights the successes of decentralized applications on the TON blockchain in 2024.,8,7,{'TON': 9},2025-02-09T00:24:11.022070
1877059546746646683,The tweet promotes decentralized exchanges (DEXs) and highlights the benefits of using OctaSwap.,8,6,"{'OCTASWAP': 9, 'CRYPTO': 7, 'DEFI': 8}",2025-02-09T00:24:12.698889
1877020520987640095,Announcement of Pulsechain support becoming available through Moralis APIs and RPC Nodes.,8,7,"{'PLS': 9, 'MOR': 8}",2025-02-09T00:24:13.988159
1877014148988477450,"The tweet promotes @SwitchboardXYZ as a revolutionary tool bridging blockchains and real-world applications, emphasizing its benefits across various sectors.",9,8,"{'DeFi': 9, 'Blockchain': 10, 'Switchboard': 10}",2025-02-09T00:24:16.242212
1877078592808513803,The user expresses excitement about a soulbound NFT from PSG1 and showcases enthusiasm for web3 technology.,8,7,"{'NFT': 9, 'SOL': 6}",2025-02-09T00:24:17.636282
1877138523293114563,The tweet is a reminder about the upcoming deadline for burning old NFTs to obtain a Poseidon ticket.,8,5,"{'NFT': 8, 'SOL': 6}",2025-02-09T00:24:19.008743
1877130320312475953,The user expresses excitement for the @PixlPalsNFT project while promoting associated projects in the NFT space.,9,6,"{'PIXLPALS': 8, 'SEENA': 7, 'PIXELAPED': 7, 'APE': 5}",2025-02-09T00:24:20.746647
1877052685574140322,"The tweet announces the winner of an NFT giveaway, celebrating the event and indicating a community engagement.",8,3,{'NFT': 9},2025-02-09T00:24:21.774497
1877126685973213668,The tweet expresses the complexity and cognitive load involved in designing and maintaining NFT smart contracts.,8,7,{'NFT': 8},2025-02-09T00:24:22.799049
1877098190417138105,The user is inviting others to buy cryptocurrency during a price dip.,8,4,"{'BTC': 7, 'ETH': 7, 'SOL': 6, 'XRP': 5}",2025-02-09T00:24:24.841439
1877114085969367092,"The tweet promotes the exciting launch of a goblin-themed NFT collection on ApeChain, highlighting its impact on the NFT landscape.",9,7,"{'APE': 8, 'BTC': 6, 'NFT': 9}",2025-02-09T00:24:26.566563
1877139575681782035,The tweet encourages users to consider revaluating their NFT assets in the Ape ecosystem for better pricing.,8,6,"{'GOB': 7, 'APE': 8, 'APECOIN': 5}",2025-02-09T00:24:28.099737
1877105950080806942,"The tweet expresses frustration towards the current state of NFT projects, highlighting issues such as overpriced minting and false hype.",8,7,{'NFT': 3},2025-02-09T00:24:29.383656
1877097152989553089,The tweet humorously refers to the user's fondness for Cardano ($ADA) while sharing a link.,7,3,{'$ADA': 6},2025-02-09T00:24:31.904850
1877070232679821413,A user is sharing an NFT art piece titled 'Retro Grid' by @Pixeldreams_art.,7,5,{'NFT': 8},2025-02-09T00:24:33.264400
1877108936483992051,The tweet expresses a light-hearted sentiment indicating acceptance of imperfections.,2,1,{},2025-02-09T00:24:34.521293
1877103836340564208,"The tweet announces a giveaway for NFTs related to Berachain and Turtle Club, emphasizing participation conditions.",8,6,"{'TRT': 7, 'BERA': 7}",2025-02-09T00:24:36.415540
1877112785559073154,"The user expresses enthusiasm about a cryptocurrency event or market movement related to $S, emphasizing a substantial financial impact.",8,5,{'$S': 9},2025-02-09T00:24:38.360893
1877084553409409329,The user promotes their NFT artwork while expressing gratitude to another NFT artist and encouraging collectors.,8,5,{'XTZ': 9},2025-02-09T00:24:39.529148
1877105923887415526,The user expresses concern about the centralized nature of Rodeo's Terms of Service despite enjoying their platform.,7,6,{'RODEO': 4},2025-02-09T00:24:40.945248
1877138093205008673,"The tweet promotes the launch of the $BRO presale, highlighting its utility and potential rewards.",9,6,"{'$BRO': 8, '$BRT': 7}",2025-02-09T00:24:42.290168
1877105663635030034,User expresses gratitude for being included on a list related to NFTs.,7,4,{'NFT': 8},2025-02-09T00:24:43.502169
1877087619965730934,User shares a lighthearted experience regarding their health while interacting with NFT friends.,6,2,{'NFT': 7},2025-02-09T00:24:44.632267
1876786258413785253,The tweet emphasizes the potential of AI-related altcoins in light of NVIDIA's CEO highlighting tremendous opportunities in AI sectors.,8,7,"{'$RENDER': 7, '$TAO': 6, '$FET': 7, '$AKT': 5, '$ROSE': 8, '$PAAL': 4, '$QUBIC': 5, '$0x0': 3, '$ORAI': 4, '$CGPT': 3, '$NMT': 3, '$VRA': 2, '$TRIAS': 2, '$AGC': 2, '$INFRA': 1}",2025-02-09T00:24:47.304672
1877027748222267493,"The tweet discusses the recent performance of altcoins, highlighting the strength of $PAAL amidst a general downtrend.",8,7,"{'$PAAL': 9, 'altcoins': 4}",2025-02-09T00:24:48.397524
1877049125268521145,The user is suggesting a buying opportunity for altcoins based on technical analysis of the RSI indicator.,8,7,"{'BTC': 5, 'ETH': 5, 'ALT': 8}",2025-02-09T00:24:51.583043
1876808325402091917,The user expresses frustration and a decision to stop engaging with altcoins.,8,3,{'ALTCOIN': 2},2025-02-09T00:24:52.532646
1876963060172398811,"The user predicts a liquidity event followed by a price reversal for altcoins, specifically $OP, outlining key price levels.",9,7,"{'OP': 7, 'Altcoins': 6}",2025-02-09T00:24:54.856323
1876916757887328371,The tweet expresses optimism about the potential for altcoin prices to significantly increase following the US elections and Trump's inauguration.,8,5,{'ALTCOIN': 9},2025-02-09T00:24:55.870614
1876826265660829851,The tweet expresses concern over the decline of altcoins and seeks community input on the reasons behind it.,8,5,{'ALTCOIN': 3},2025-02-09T00:24:57.258967
1877078067384037677,"The tweet discusses the correlation between altcoins and Bitcoin, suggesting a predictive relationship based on Bitcoin's movements.",8,6,"{'BTC': 8, 'ALT': 7}",2025-02-09T00:24:58.484781
1876924087978619233,The user is expressing a positive sentiment towards the current appearance of altcoins in the market.,7,5,{'ALT': 8},2025-02-09T00:24:59.739420
1877085860971061571,The user recommends buying $RENDER due to signs of an upcoming market reversal after a downturn.,8,7,"{'RENDER': 8, 'ALTCOINS': 7}",2025-02-09T00:25:01.753351
1876996729288917000,"The tweet encourages investors to view market dips as buying opportunities during a bullish phase, showcasing confidence in crypto growth.",9,8,"{'BTC': 8, 'ALT': 7}",2025-02-09T00:25:03.140955
1876827216010441120,The user is soliciting recommendations for popular altcoins from their followers.,8,4,{},2025-02-09T00:25:04.164635
1876934995157065833,"The user is sharing technical analysis and bullish sentiment on altcoins, particularly indicating a potential breakout.",8,9,{'ALTS': 8},2025-02-09T00:25:05.702161
1877001301558440362,"The user expresses optimism about altcoins and the overall market health, anticipating new highs despite current market uncertainty.",8,7,{'TOTAL2': 8},2025-02-09T00:25:06.766968
1876882780480782390,The user seeks recommendations for altcoins and meme coins to invest in for 2025.,9,5,"{'BTC': 7, 'ETH': 7, 'BNB': 6, 'SOL': 5, 'AVAX': 6, 'FTM': 5, 'ADA': 5}",2025-02-09T00:25:09.081593
1876931864981832111,The tweet suggests that recent market corrections are minor as many altcoins remain positive over the week.,8,6,"{'BTC': 6, 'ETH': 6, 'ALT': 7}",2025-02-09T00:25:10.308240
1877088636971176281,The tweet expresses a belief that altcoins will eventually rise to match Bitcoin's performance.,8,6,"{'BTC': 8, 'ALT': 7}",2025-02-09T00:25:12.162315
1877068253106942211,The tweet suggests that altcoins are following a similar upward trend as Bitcoin did prior to its 2021 surge.,9,6,"{'BTC': 8, 'ALT': 7}",2025-02-09T00:25:13.343986
1876895500344992109,The user expresses their unwavering commitment to investing in crypto and altcoins despite market fluctuations and anticipates a major altcoin season in 2025.,9,7,"{'BTC': 8, 'ALT': 9}",2025-02-09T00:25:15.541157
1877116381017120820,The user expresses a commitment to personal growth and learning in web3 and development over the next six months.,7,6,"{'BTC': 8, 'ETH': 7, 'WEB3': 9, 'ORD': 7}",2025-02-09T00:25:17.066798
1877121604968129000,The tweet questions the sustainability of MicroStrategy's Bitcoin buying strategy while promoting a leveraged trading platform for BTC.,8,6,"{'BTC': 7, 'MSTR': 6}",2025-02-09T00:25:18.502046
1877106182231568538,The tweet promotes the launch of a new BTC staking achievement and outlines the qualifications required for participation.,9,8,"{'BTC': 7, 'uniBTC': 6, 'LBTC': 6, 'SolvBTCBBN': 6, 'waBTC': 6, 'stBTC': 6, 'eBTC': 6}",2025-02-09T00:25:21.570911
1877094861330894917,"The tweet promotes an upcoming discussion about Bitcoin and its intersection with art, featuring special guests.",8,5,{'BTC': 7},2025-02-09T00:25:23.108778
1877125538944258294,The user shares a quick reflection on Bitcoin's performance while hinting at future updates.,8,5,{'BTC': 7},2025-02-09T00:25:24.337734
1877139591800484109,"The tweet discusses the past and current values of the DXY and BTC, suggesting an impending change in BTC prices based on these metrics.",9,8,"{'BTC': 8, 'DXY': 7, 'DOGE': 6, 'XRP': 6}",2025-02-09T00:25:25.873145
1877114495555801171,"The user shares a successful badge-earning strategy focused on $BTC and #BONKdragon, aiming to contribute to the crypto community's knowledge.",8,7,"{'$BTC': 8, '#BONKdragon': 7}",2025-02-09T00:25:27.510675
1877141617032786036,The tweet promotes a WL (whitelist) giveaway for Abstract Bots to encourage community engagement.,7,3,{'ABSTRACT': 8},2025-02-09T00:25:28.637893
1877026486663761990,The user expresses enthusiasm for various cryptocurrencies and promotes a diverse approach to blockchain technology.,9,6,"{'ADA': 9, 'ETH': 9, 'BTC': 9, 'SUI': 8, 'XRP': 8, 'DOGE': 9, 'SOL': 8}",2025-02-09T00:25:30.378069
1877094645034848555,The user expresses skepticism about people's understanding of science and vaccine issues while highlighting their love for Bryan.,2,2,{'BTC': 5},2025-02-09T00:25:31.610237
1877115120439992635,The user expresses optimism about a long bullish trend in the crypto market and emphasizes investing in top-tier projects.,8,6,"{'BTC': 9, 'NFT': 7}",2025-02-09T00:25:36.420525
1877117000813625475,"The tweet celebrates surviving another market dip, indicating resilience in crypto investments.",8,3,"{'BTC': 7, 'ETH': 5, 'XRP': 4}",2025-02-09T00:25:37.444900
1877091489420861551,The tweet discusses the challenges Bitcoin is facing due to broader economic fears and rising interest rates despite institutional buying.,9,7,{'BTC': 5},2025-02-09T00:25:38.690954
1877097519550804036,The user expresses frustration with major cryptocurrencies while promoting a lesser-known coin.,9,4,"{'$BTC': 2, '$ETH': 2, '$SOL': 2, '$MLG': 8}",2025-02-09T00:25:39.902191
1877116458422951969,$MLG is highlighted as an impressive and well-coded project appealing to gamers and enthusiasts.,8,7,{'$MLG': 9},2025-02-09T00:25:42.564050
1877088639802335718,"The tweet discusses the significance of Bitcoin's integration into derivatives and layer deployments by 2025, emphasizing its growing role in the financial ecosystem.",9,8,{'BTC': 9},2025-02-09T00:25:45.844944
1877124840265503064,User expresses disappointment regarding a lack of updates in the Web3 space.,7,5,{'BTC': 3},2025-02-09T00:25:46.840325
1877092757975523524,The tweet provides trading advice emphasizing patience and strategic entry points for Bitcoin.,8,7,{'$BTC': 8},2025-02-09T00:25:47.737820
1877137242914701598,"The user announces a live AMA session on the Base platform, hinting at a personal engagement with followers.",7,5,{'BASE': 8},2025-02-09T00:25:49.435523
1877136377185267731,"The tweet addresses both XRP and ETH holders, indicating a potential discussion or sentiment about these cryptocurrencies.",8,4,"{'XRP': 6, 'ETH': 5}",2025-02-09T00:25:51.007577
1877122744896159810,"The tweet seeks community engagement on what to be grateful for during market dips, utilizing an AI bot for insights.",7,5,{'ETH': 6},2025-02-09T00:25:52.599744
1877139586503123141,"The tweet expresses a playful call for someone to return to Dubai, likely linked to a meme or cultural reference within the crypto community.",4,2,{'BET': 6},2025-02-09T00:25:53.932432
1877109758001295735,"The tweet shares a live update regarding fires in Los Angeles, unrelated to cryptocurrency.",1,1,{},2025-02-09T00:25:55.058442
1877121186296910248,The tweet discusses a fictional episode of 'Doge Tank' that humorously critiques government spending through a proposal for Egyptian tourism funding.,6,4,{'DOGE': 5},2025-02-09T00:25:56.561872
1877133284888424601,The user expresses gratitude for their involvement in a crypto community while highlighting the value of a specific project and its free mint.,8,6,"{'ETH': 8, 'PLA': 9}",2025-02-09T00:25:57.818088
1877099640266379699,The tweet expresses frustration or concern over criticism (FUD) directed at the Pudgy Penguins NFT collection.,7,5,{'PUDGY': 6},2025-02-09T00:25:58.974664
1877107443597009025,"The tweet highlights the achievements and resilience of an individual in the crypto space, prompting readers to identify him.",9,7,"{'ETH': 8, 'FTX': 3, 'Backpack': 9, 'MadLads': 7}",2025-02-09T00:26:00.483282
1877141519250919692,The user shares a link related to 'Wine Weather' with no clear connection to crypto.,1,1,{},2025-02-09T00:26:01.508774
1877137472712220972,The tweet expresses curiosity about the fate of a gold jackpot related to a crypto project.,6,3,"{'JACKPOT': 5, 'GOLD': 4}",2025-02-09T00:26:03.204546
1877103913704333569,The user expresses a sarcastic desire for ETH to experience four consecutive years of price decline.,8,5,{'ETH': 2},2025-02-09T00:26:08.577569
1877130910199321044,The tweet advocates for a good cause associated with the hashtag #SAVEJAMES.,2,1,{},2025-02-09T00:26:09.699018
1877131389138522600,"The tweet appears to challenge followers to showcase their collection of '99' items, possibly implying a playful engagement related to gaming.",2,1,{},2025-02-09T00:26:10.890598
1877129058057703700,"The tweet promotes the $IQ cryptocurrency, expressing confidence in its future adoption and encouraging the community to spread the word.",8,5,{'$IQ': 9},2025-02-09T00:26:12.261167
1877123774337691702,"The tweet questions societal values regarding beauty standards, with no direct relation to cryptocurrency.",1,1,{},2025-02-09T00:26:13.285971
1876947722336424081,The tweet promotes a video tutorial on minting Sperax USD ($USDs) using stablecoins for auto yield earning.,8,5,"{'$USDs': 7, '$spa': 6}",2025-02-09T00:26:15.918868
1876916765453619293,"The tweet promotes a podcast episode discussing stablecoins and the experiences of building a Web3 company, focusing on insights from the CEOs involved.",8,6,"{'ETH': 7, 'USDC': 8, 'ECO': 9}",2025-02-09T00:26:17.395325
1877007411225280972,The tweet promotes the benefits of stablecoins in wealth preservation and their growing role in DeFi and real-world assets.,8,7,"{'USD': 9, 'DAI': 8, 'USDC': 8, 'Tether': 7}",2025-02-09T00:26:19.429153
1877037271150412117,The tweet expresses confidence in Bitcoin's future value and highlights the potential of stablecoins in reshaping the crypto narrative.,9,7,"{'BTC': 9, 'USDT': 7, 'ETH': 5}",2025-02-09T00:26:21.641115
